STATISTIC Label,Graduation Year,Field of Study,NFQ Level,Institutions,UNIT,VALUE
Number of Graduates,2010,Arts and Humanities,All NFQ Levels,"Dun Laoghaire Institute of Art, Design and Technology",Number,140
Number of Graduates,2010,Arts and Humanities,All NFQ Levels,University College Dublin,Number,640
Number of Graduates,2010,Arts and Humanities,All NFQ Levels,Dublin Institute of Technology,Number,210
Number of Graduates,2010,Arts and Humanities,All NFQ Levels,Galway-Mayo IT,Number,100
Number of Graduates,2010,Arts and Humanities,All NFQ Levels,"National University of Ireland, Galway",Number,940
Number of Graduates,2010,Arts and Humanities,All NFQ Levels,Limerick IT,Number,140
Number of Graduates,2010,Arts and Humanities,All NFQ Levels,University of Limerick,Number,270
Number of Graduates,2010,Arts and Humanities,All NFQ Levels,Letterkenny IT,Number,40
Number of Graduates,2010,Arts and Humanities,All NFQ Levels,Mater Dei Institute,Number,10
Number of Graduates,2010,Arts and Humanities,All NFQ Levels,Maynooth University,Number,630
Number of Graduates,2010,Arts and Humanities,All NFQ Levels,Mary Immaculate College,Number,160
Number of Graduates,2010,Arts and Humanities,All NFQ Levels,St. Patrick's College,Number,160
Number of Graduates,2010,Arts and Humanities,All NFQ Levels,Royal College of Surgeons,Number,0
Number of Graduates,2010,Arts and Humanities,All NFQ Levels,IT Sligo,Number,40
Number of Graduates,2010,Arts and Humanities,All NFQ Levels,IT Tallaght,Number,20
Number of Graduates,2010,Arts and Humanities,All NFQ Levels,IT Tralee,Number,20
Number of Graduates,2010,Arts and Humanities,All NFQ Levels,Trinity College Dublin,Number,520
Number of Graduates,2010,Arts and Humanities,All NFQ Levels,Technological University Dublin,Number,0
Number of Graduates,2010,Arts and Humanities,All NFQ Levels,Waterford IT,Number,50
Number of Graduates,2010,Arts and Humanities,NFQ Level 6,All Institutions,Number,20
Number of Graduates,2010,Arts and Humanities,NFQ Level 6,National College of Art and Design,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 6,Athlone IT,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 6,St Angela's College of Home Economics,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 6,IT Blanchardstown,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 6,University College Cork,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 6,Cork IT,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 6,IT Carlow,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 6,Dublin City University,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 6,Dundalk IT,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 6,"Dun Laoghaire Institute of Art, Design and Technology",Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 6,University College Dublin,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 6,Dublin Institute of Technology,Number,10
Number of Graduates,2010,Arts and Humanities,NFQ Level 6,Galway-Mayo IT,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 6,"National University of Ireland, Galway",Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 6,Limerick IT,Number,10
Number of Graduates,2010,Arts and Humanities,NFQ Level 6,University of Limerick,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 6,Letterkenny IT,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 6,Mater Dei Institute,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 6,Maynooth University,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 6,Mary Immaculate College,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 6,St. Patrick's College,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 6,Royal College of Surgeons,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 6,IT Sligo,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 6,IT Tallaght,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 6,IT Tralee,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 6,Trinity College Dublin,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 6,Technological University Dublin,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 6,Waterford IT,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 7,All Institutions,Number,320
Number of Graduates,2010,Arts and Humanities,NFQ Level 7,National College of Art and Design,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 7,Athlone IT,Number,10
Number of Graduates,2010,Arts and Humanities,NFQ Level 7,St Angela's College of Home Economics,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 7,IT Blanchardstown,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 7,University College Cork,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 7,Cork IT,Number,60
Number of Graduates,2010,Arts and Humanities,NFQ Level 7,IT Carlow,Number,10
Number of Graduates,2010,Arts and Humanities,NFQ Level 7,Dublin City University,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 7,Dundalk IT,Number,20
Number of Graduates,2010,Arts and Humanities,NFQ Level 7,"Dun Laoghaire Institute of Art, Design and Technology",Number,30
Number of Graduates,2010,Arts and Humanities,NFQ Level 7,University College Dublin,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 7,Dublin Institute of Technology,Number,10
Number of Graduates,2010,Arts and Humanities,NFQ Level 7,Galway-Mayo IT,Number,50
Number of Graduates,2010,Arts and Humanities,NFQ Level 7,"National University of Ireland, Galway",Number,70
Number of Graduates,2010,Arts and Humanities,NFQ Level 7,Limerick IT,Number,20
Number of Graduates,2010,Arts and Humanities,NFQ Level 7,University of Limerick,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 7,Letterkenny IT,Number,30
Number of Graduates,2010,Arts and Humanities,NFQ Level 7,Mater Dei Institute,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 7,Maynooth University,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 7,Mary Immaculate College,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 7,St. Patrick's College,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 7,Royal College of Surgeons,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 7,IT Sligo,Number,10
Number of Graduates,2010,Arts and Humanities,NFQ Level 7,IT Tallaght,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 7,IT Tralee,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 7,Trinity College Dublin,Number,10
Number of Graduates,2010,Arts and Humanities,NFQ Level 7,Technological University Dublin,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 7,Waterford IT,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 8,All Institutions,Number,4000
Number of Graduates,2010,Arts and Humanities,NFQ Level 8,National College of Art and Design,Number,130
Number of Graduates,2010,Arts and Humanities,NFQ Level 8,Athlone IT,Number,20
Number of Graduates,2010,Arts and Humanities,NFQ Level 8,St Angela's College of Home Economics,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 8,IT Blanchardstown,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 8,University College Cork,Number,570
Number of Graduates,2010,Arts and Humanities,NFQ Level 8,Cork IT,Number,60
Number of Graduates,2010,Arts and Humanities,NFQ Level 8,IT Carlow,Number,20
Number of Graduates,2010,Arts and Humanities,NFQ Level 8,Dublin City University,Number,150
Number of Graduates,2010,Arts and Humanities,NFQ Level 8,Dundalk IT,Number,40
Number of Graduates,2010,Arts and Humanities,NFQ Level 8,"Dun Laoghaire Institute of Art, Design and Technology",Number,90
Number of Graduates,2010,Arts and Humanities,NFQ Level 8,University College Dublin,Number,460
Number of Graduates,2010,Arts and Humanities,NFQ Level 8,Dublin Institute of Technology,Number,160
Number of Graduates,2010,Arts and Humanities,NFQ Level 8,Galway-Mayo IT,Number,50
Number of Graduates,2010,Arts and Humanities,NFQ Level 8,"National University of Ireland, Galway",Number,710
Number of Graduates,2010,Arts and Humanities,NFQ Level 8,Limerick IT,Number,120
Number of Graduates,2010,Arts and Humanities,NFQ Level 8,University of Limerick,Number,170
Number of Graduates,2010,Arts and Humanities,NFQ Level 8,Letterkenny IT,Number,10
Number of Graduates,2010,Arts and Humanities,NFQ Level 8,Mater Dei Institute,Number,10
Number of Graduates,2010,Arts and Humanities,NFQ Level 8,Maynooth University,Number,510
Number of Graduates,2010,Arts and Humanities,NFQ Level 8,Mary Immaculate College,Number,130
Number of Graduates,2010,Arts and Humanities,NFQ Level 8,St. Patrick's College,Number,150
Number of Graduates,2010,Arts and Humanities,NFQ Level 8,Royal College of Surgeons,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 8,IT Sligo,Number,30
Number of Graduates,2010,Arts and Humanities,NFQ Level 8,IT Tallaght,Number,20
Number of Graduates,2010,Arts and Humanities,NFQ Level 8,IT Tralee,Number,20
Number of Graduates,2010,Arts and Humanities,NFQ Level 8,Trinity College Dublin,Number,330
Number of Graduates,2010,Arts and Humanities,NFQ Level 8,Technological University Dublin,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 8,Waterford IT,Number,40
Number of Graduates,2010,Arts and Humanities,NFQ Level 9,All Institutions,Number,1040
Number of Graduates,2010,Arts and Humanities,NFQ Level 9,National College of Art and Design,Number,10
Number of Graduates,2010,Arts and Humanities,NFQ Level 9,Athlone IT,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 9,St Angela's College of Home Economics,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 9,IT Blanchardstown,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 9,University College Cork,Number,140
Number of Graduates,2010,Arts and Humanities,NFQ Level 9,Cork IT,Number,10
Number of Graduates,2010,Arts and Humanities,NFQ Level 9,IT Carlow,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 9,Dublin City University,Number,70
Number of Graduates,2010,Arts and Humanities,NFQ Level 9,Dundalk IT,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 9,"Dun Laoghaire Institute of Art, Design and Technology",Number,20
Number of Graduates,2010,Arts and Humanities,NFQ Level 9,University College Dublin,Number,180
Number of Graduates,2010,Arts and Humanities,NFQ Level 9,Dublin Institute of Technology,Number,30
Number of Graduates,2010,Arts and Humanities,NFQ Level 9,Galway-Mayo IT,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 9,"National University of Ireland, Galway",Number,150
Number of Graduates,2010,Arts and Humanities,NFQ Level 9,Limerick IT,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 9,University of Limerick,Number,100
Number of Graduates,2010,Arts and Humanities,NFQ Level 9,Letterkenny IT,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 9,Mater Dei Institute,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 9,Maynooth University,Number,120
Number of Graduates,2010,Arts and Humanities,NFQ Level 9,Mary Immaculate College,Number,20
Number of Graduates,2010,Arts and Humanities,NFQ Level 9,St. Patrick's College,Number,10
Number of Graduates,2010,Arts and Humanities,NFQ Level 9,Royal College of Surgeons,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 9,IT Sligo,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 9,IT Tallaght,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 9,IT Tralee,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 9,Trinity College Dublin,Number,170
Number of Graduates,2010,Arts and Humanities,NFQ Level 9,Technological University Dublin,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 9,Waterford IT,Number,10
Number of Graduates,2010,Arts and Humanities,NFQ Level 10,All Institutions,Number,40
Number of Graduates,2010,Arts and Humanities,NFQ Level 10,National College of Art and Design,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 10,Athlone IT,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 10,St Angela's College of Home Economics,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 10,IT Blanchardstown,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 10,University College Cork,Number,10
Number of Graduates,2010,Arts and Humanities,NFQ Level 10,Cork IT,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 10,IT Carlow,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 10,Dublin City University,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 10,Dundalk IT,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 10,"Dun Laoghaire Institute of Art, Design and Technology",Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 10,University College Dublin,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 10,Dublin Institute of Technology,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 10,Galway-Mayo IT,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 10,"National University of Ireland, Galway",Number,10
Number of Graduates,2010,Arts and Humanities,NFQ Level 10,Limerick IT,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 10,University of Limerick,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 10,Letterkenny IT,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 10,Mater Dei Institute,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 10,Maynooth University,Number,10
Number of Graduates,2010,Arts and Humanities,NFQ Level 10,Mary Immaculate College,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 10,St. Patrick's College,Number,0
Number of Graduates,2010,Arts and Humanities,NFQ Level 10,Royal College of Surgeons,Number,0
